transactionDate,company,ticker,transactionType,price,quantity,note
2024-05-03,Группа Астра,ASTR,SELL,620.051111,90.0,
2024-05-03,Сбербанк Росс,SBER,SELL,307.46,480.0,
2024-05-15,Аэрофлот,AFLT,SELL,56.25,1000.0,
2024-05-15,Роснефть НК,ROSN,BUY,592.75,100.0,
2024-05-21,Магнит,MGNT,BUY,8191.5,20.0,
2024-05-27,Глобалтранс,GLTR,BUY,742.141111,90.0,
2024-05-27,Самолет ГК,SMLT,BUY,3383.5,55.0,
2024-05-28,ВК МКПАО,VKCO,BUY,578.8,80.0,
2024-06-08,Глобалтранс,GLTR,SELL,558.87,180.0,
2024-06-08,Газпром,GAZP,BUY,125.71,200.0,
2024-07-17,Магнит,MGNT,DIVIDEND,7170.6,1.0,
2024-07-24,T-Технологии МКПАО,TCSG,DIVIDEND,5049,1.0,
2024-07-25,Яндекс,YNDX,BUY,4096.5,10.0,
2024-07-26,Яндекс,YNDX,BUY,4008.0,11.0,
2024-09-24,Яндекс МКПАО,YNDX,DIVIDEND,1462.0,1.0,
2024-11-10,T-Технологии МКПАО,TCSG,DIVIDEND,1609.0,1.0,
2025-01-27,Роснефть НК,ROSN,DIVIDEND,6356.0,1.0,
2025-02-17,Яндекс,YNDX,SELL,4707.428571,21.0,
2025-02-17,Газпром,GAZP,BUY,174.6,620.0,
2025-05-26,T-Технологии МКПАО,TCSG,DIVIDEND,557.0,1.0,
2025-07-24,T-Технологии МКПАО,TCSG,DIVIDEND,574.0,1.0,
2025-07-25,Банк ВТБ,VTBR,DIVIDEND,38251000,0.0002,
2025-07-30,Газпром,GAZP,BUY,122.66,90.0,
2025-08-04,Роснефть НК,ROSN,DIVIDEND,2555.0,1.0,
2025-09-15,Газпром,GAZP,BUY,124.3,970.0,
2025-09-15,Самолет ГК,SMLT,SELL,1083.0,110.0,
2025-10-12,T-Технологии МКПАО,TCSG,DIVIDEND,609.0,1.0,
